131.08 119.25 131.05 130.91  88.45 108.18  58.14  70.04  42.99   0.00 
131.08 130.29 117.16 109.76  86.00 108.22  96.94  94.64 117.74   0.00 
131.08 121.25 118.41 124.14  91.83 109.71  77.31  30.52  24.95   0.00 
131.08 118.96 124.95 106.45 105.06 114.03  63.41  47.19  69.93   0.00 
131.08 119.31 119.24 122.04 113.46  94.55  52.31  98.13  71.57   0.00 
131.08 120.34 129.47 120.25  91.47 121.52 104.62  44.53  22.21   0.00 
131.08 128.52 107.71 100.95 122.80 112.92 121.31  86.23  75.70   0.00 
131.08 121.90 123.16 129.74 124.80 110.75  90.54 120.11 103.21   0.00 
131.08 124.61 103.37 103.22 122.22 124.20 125.84 109.71 129.58   0.00 
131.08 121.79 121.53  95.10 107.99 106.91  75.56 122.67  81.19   0.00 
131.08 122.08 130.90  95.31  79.57  88.28  60.82 115.29  29.49   0.00 
131.08 129.50 117.40  89.77 111.76 100.05 107.07  81.83 102.66   0.00 
131.08 126.84 116.78 111.19 113.84 118.97  65.27  50.98  97.23   0.00 
131.08 124.39 127.57 115.99  77.01  88.95  85.08  98.00  44.47   0.00 
131.08 120.16 122.87  91.42 104.94 100.71  91.58  44.96 125.12   0.00 
131.08 130.32 109.44 127.68 128.28  61.49  47.06 129.94 108.03   0.00 
131.08 116.96 117.17 131.01  86.69 115.65 113.60  39.34 106.79   0.00 
131.08 122.88 112.75 102.30  94.58  98.45  80.66  73.33  29.27   0.00 
131.08 121.31 103.22 103.37  82.33 126.46 109.98 117.36 117.32   0.00 
131.08 117.12 102.72  99.63 109.89  92.77  75.06 121.11  46.90   0.00 
131.08 120.50 111.17 103.19 100.03  92.59 119.27  73.85  18.55   0.00 
131.08 117.83 120.43 100.57 108.85 115.75  74.94 114.44  17.07   0.00 
131.08 122.97 105.43 111.70 124.11 100.24  67.24 109.85 117.78   0.00 
131.08 130.79 126.93 125.95 121.38  77.05  89.81 111.07  20.44   0.00 
