131.08 128.28 130.29 119.78 114.62  73.61  57.43  89.17  69.77   0.00 
131.08 128.45 104.64 109.68 122.67  88.09 114.26 103.58 125.26   0.00 
131.08 118.82 113.97 116.71 124.23  79.45  73.32  47.07 105.16   0.00 
131.08 125.14 123.05 115.48 118.77  70.68 111.13 131.06 128.08   0.00 
131.08 124.36 115.07 115.72  83.86 121.58  63.83 119.66  43.04   0.00 
131.08 126.50 102.49 119.09  88.84 116.88 107.85  37.84  15.45   0.00 
131.08 122.44 125.77 117.20  75.87  65.99 114.87  81.60 125.15   0.00 
131.08 127.54 116.49 111.78 100.67 129.42 106.80  74.79  59.77   0.00 
131.08 119.99 120.41 118.83 118.88 103.78  74.07  98.63  73.13   0.00 
131.08 125.12 127.49 125.55 103.93  62.34  80.03  43.23  44.75   0.00 
131.08 128.67 110.28  88.77 108.49  74.85 113.02  43.17  81.07   0.00 
131.08 128.41 127.09 106.04  89.01  96.54  95.37  77.68  52.97   0.00 
131.08 123.90 122.52 125.19 114.21 125.88 112.94  59.82  35.23   0.00 
131.08 123.20 113.97 100.26 109.09 112.99  80.01  32.55  92.54   0.00 
131.08 130.94 127.95 127.71  80.35 115.84  54.34  75.88  15.54   0.00 
131.08 129.40 117.73 102.19  92.77  69.26  95.12  62.55  30.41   0.00 
131.08 118.74 109.60  96.06  85.44  78.22 122.08  70.96  72.93   0.00 
131.08 130.03 112.65  93.07 104.88  87.76  66.94  89.44  97.04   0.00 
131.08 126.74 108.67 115.73  76.73 105.48  76.96  59.49 102.86   0.00 
131.08 118.51 108.39  89.18 119.60 112.76 120.78 117.16  78.91   0.00 
131.08 128.96 115.64 128.87 112.82 105.09 102.07 122.96 109.84   0.00 
131.08 124.75 124.22 117.10  85.16 106.83 117.72 119.91  76.55   0.00 
131.08 122.46 106.53  93.65  88.45 102.94  74.62 113.30  78.64   0.00 
131.08 122.46 107.09 101.27 101.80 113.60  83.62 126.69  21.12   0.00 
